region,school,q5curric
Southeast,1,0
Southeast,4,0
Southeast,3,0
East,3,0
West,3,0
South,3,0
South,1,0
Southeast,3,0
Southeast,2,0
Southwest,1,0
South,4,0
West,3,0
South,3,0
East,1,0
West,2,0
South,3,0
Southeast,1,0
Southwest,2,0
North,3,0
South,1,0
Southeast,3,0
South,3,0
East,3,0
West,2,0
South,3,0
Southeast,3,0
North,4,1
West,3,0
Southeast,2,0
East,3,0
South,3,0
North,3,0
North,4,1
South,3,0
North,4,1
South,3,0
East,1,0
North,3,0
Southeast,3,0
East,3,0
North,3,0
South,1,0
East,3,0
South,3,0
North,4,1
Southeast,3,0
East,3,0
Southeast,1,0
East,3,0
Southwest,1,0
North,3,0
Southeast,3,0
East,3,0
Southeast,3,0
Southeast,2,0
North,3,0
North,4,1
East,2,0
Southeast,3,0
Southwest,2,0
Southeast,3,0
North,3,0
North,3,0
South,3,0
East,2,0
Southeast,3,0
North,2,0
North,4,1
North,3,0
Southeast,3,0
Southeast,3,0
Southeast,3,0
North,4,1
Southeast,2,0
North,3,0
Southeast,1,0
South,3,0
South,3,0
North,3,0
North,3,0
Southeast,3,0
South,3,0
Southeast,2,0
North,3,0
Southeast,4,0
South,2,0
North,3,0
North,3,0
South,2,0
North,1,0
North,3,0
South,3,0
North,4,1
North,3,0
Southwest,3,0
South,2,0
North,3,0
North,4,1
South,3,0
South,3,0
North,4,0
South,3,0
North,1,0
North,3,0
North,2,0
North,2,0
North,2,0
North,4,1
North,2,0
North,3,0
North,4,1
South,3,0
South,2,0
North,1,0
South,3,0
South,1,0
Capital,3,0
Southwest,3,0
East,2,0
